Last	First	HOF	From	To	Position1	Position	Position2	Ht	Wt	Month	Day	Year	Country	DaysBefore
Brenneman	John	N	1965	1969	LW	F	NA	70	175	January	5	1943	Canada	0
Camazzola	Jim	N	1984	1987	LW	F	NA	71	190	January	5	1964	Canada	0
McRae	Basil	N	1982	1997	LW	F	NA	74	210	January	5	1961	Canada	0
Calder	Kyle	N	2000	2009	LW	F	NA	71	180	January	5	1979	Canada	0
Toppazzini	Zellio	N	1949	1957	RW	F	NA	71	180	January	5	1930	Canada	0
Homenuke	Ron	N	1973	1973	RW	F	NA	70	180	January	5	1952	Canada	0
Tidey	Alex	N	1977	1980	RW	F	NA	73	182	January	5	1955	Canada	0
Tuttle	Steve	N	1989	1991	RW	F	NA	73	197	January	5	1966	Canada	0
Maguire	Kevin	N	1987	1992	RW	F	NA	74	200	January	5	1963	Canada	0
Drulia	Stan	N	1993	2001	RW	F	NA	71	190	January	5	1968	USA	0
Grier	Mike	N	1997	2009	RW	F	NA	73	225	January	5	1975	USA	0
Voss	Carl	Y	1927	1938	C	F	NA	69	168	January	6	1907	USA	0
Forsyth	Alex	N	1977	1977	C	F	NA	74	195	January	6	1955	Canada	0
Jalonen	Kari	N	1983	1984	C	F	NA	74	190	January	6	1960	Finland	0
Davidsson	Johan	N	1999	2000	C	F	NA	73	190	January	6	1976	Sweden	0
Brine	David	N	2008	2008	C	F	NA	73	201	January	6	1985	Canada	0
Craig	Ryan	N	2006	2009	C	F	NA	74	212	January	6	1982	Canada	0
Halderson	Harold	N	1927	1927	D	D	NA	75	200	January	6	1900	Canada	0
Barkley	Doug	N	1958	1966	D	D	NA	74	185	January	6	1937	Canada	0
Gosselin	Guy	N	1988	1988	D	D	NA	70	185	January	6	1964	USA	0
Reinhart	Paul	N	1980	1990	D	D	NA	71	205	January	6	1960	Canada	0
Ferguson	Scott	N	1998	2006	D	D	NA	73	195	January	6	1973	Canada	0
McIver	Nathan	N	2007	2009	D	D	NA	74	206	January	6	1985	Canada	0
Moore	Dickie	Y	1952	1968	LW	F	NA	70	168	January	6	1931	Canada	0
Metcalfe	Scott	N	1988	1990	LW	F	NA	73	195	January	6	1967	Canada	0
Meissner	Dick	N	1960	1965	RW	F	NA	71	200	January	6	1940	Canada	0
Cook	Bob	N	1971	1975	RW	F	NA	73	190	January	6	1946	Canada	0
Verstraete	Leigh	N	1983	1988	RW	F	NA	71	185	January	6	1962	Canada	0
Crowder	Keith	N	1981	1990	RW	F	NA	73	190	January	6	1959	Canada	0
Valicevic	Rob	N	1999	2004	RW	F	NA	73	198	January	6	1971	USA	0
Burish	Adam	N	2007	2009	RW	F	NA	73	189	January	6	1983	USA	0
Zednik	Richard	N	1996	2009	RW	F	NA	73	200	January	6	1976	Slovakia	0
Jackson	Lloyd	N	1937	1937	C	F	NA	69	150	January	7	1912	Canada	0
Smith	Hooley	Y	1925	1941	C	F	RW	70	155	January	7	1903	Canada	0
Borsato	Luciano	N	1991	1995	C	F	NA	71	190	January	7	1966	Canada	0
Bass	Cody	N	2008	2009	C	F	NA	73	212	January	7	1987	Canada	0
Pratt	 Walter 	Y	1936	1947	D	D	NA	75	212	January	7	1916	Canada	0
Bignell	Larry	N	1974	1974	D	D	NA	73	175	January	7	1950	Canada	0
Salovaara	Barry	N	1975	1976	D	D	NA	70	180	January	7	1948	Canada	0
Beaudoin	Yves	N	1986	1988	D	D	NA	71	180	January	7	1965	Canada	0
Thelven	Michael	N	1986	1990	D	D	NA	71	185	January	7	1961	Sweden	0
Buskas	Rod	N	1983	1993	D	D	NA	73	206	January	7	1961	Canada	0
Sopel	Brent	N	1999	2009	D	D	NA	74	205	January	7	1977	Canada	0
Janaszak	Steve	N	1980	1982	G	G	NA	73	210	January	7	1957	USA	0
Keans	Doug	N	1980	1988	G	G	NA	67	185	January	7	1958	Canada	0
Liut	Mike	N	1980	1992	G	G	NA	74	195	January	7	1956	Canada	0
